sample	samples	_primary_site	SLC25A11	SLC25A12	SLC25A13	SLC16A1	SLC16A4	SLC16A7	MPC1	MPC2	GPD1	GPD1L	GPD2	LDHA	LDHB	LDHC	LDHD
GTEX-14DAQ-2326-SM-5S2QX	GTEX-14DAQ-2326-SM-5S2QX	Vagina	10.09	10.32	9.558	8.85	9.309	9.626	9.925	9.623	4.142	10.53	10.43	12.11	12.23	3.536	7.64
GTEX-QDT8-2526-SM-48TYX	GTEX-QDT8-2526-SM-48TYX	Vagina	10.08	10.17	9.471	9.527	8.212	9.617	10.05	9.504	5.592	10.19	10.7	13.82	12.42	3.185	6.768
GTEX-ZXES-0626-SM-5E45P	GTEX-ZXES-0626-SM-5E45P	Vagina	10.05	10.37	9.848	9.989	6.802	9.622	9.811	9.779	4.767	10.42	10.68	14.24	11.57	1.098	6.93
GTEX-N7MT-1926-SM-3LK5N	GTEX-N7MT-1926-SM-3LK5N	Vagina	10.04	10.06	9.097	8.613	7.808	9.776	9.977	9.991	3.76	10.91	11.58	14.02	11.86	2.374	7.148
GTEX-11GSP-2226-SM-5HL5Q	GTEX-11GSP-2226-SM-5HL5Q	Vagina	10.02	10.08	9.705	9.012	8.223	9.187	10.46	9.908	5.86	10.85	9.967	13.56	12.91	4.683	7.889
GTEX-147F3-1526-SM-5SIAK	GTEX-147F3-1526-SM-5SIAK	Vagina	9.912	10.36	9.688	8.763	9.333	10.2	10.1	9.812	4.48	11.66	10.33	12.83	12.88	1.127	8.452
GTEX-11EM3-1826-SM-5A5KO	GTEX-11EM3-1826-SM-5A5KO	Vagina	9.844	10.36	9.693	10.14	7.234	9.512	9.69	9.587	5.803	11.86	9.399	13.21	12.82	0	7.349
GTEX-W5X1-2226-SM-5CHTP	GTEX-W5X1-2226-SM-5CHTP	Vagina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTEX-1117F-2526-SM-5GZY6	GTEX-1117F-2526-SM-5GZY6	Vagina															
GTEX-13OVI-0926-SM-5J1MI	GTEX-13OVI-0926-SM-5J1MI	Vagina															
GTEX-13W3W-2326-SM-5LU4Y	GTEX-13W3W-2326-SM-5LU4Y	Vagina															
GTEX-145ME-1426-SM-5RQJS	GTEX-145ME-1426-SM-5RQJS	Vagina															
GTEX-Q734-1426-SM-48TZQ	GTEX-Q734-1426-SM-48TZQ	Vagina															
GTEX-RU1J-1426-SM-46MUV	GTEX-RU1J-1426-SM-46MUV	Vagina															
GTEX-S4P3-1126-SM-4AD52	GTEX-S4P3-1126-SM-4AD52	Vagina															
GTEX-WEY5-0826-SM-5CHT9	GTEX-WEY5-0826-SM-5CHT9	Vagina															
GTEX-WRHU-2926-SM-4MVNQ	GTEX-WRHU-2926-SM-4MVNQ	Vagina															
GTEX-X8HC-2826-SM-46MWJ	GTEX-X8HC-2826-SM-46MWJ	Vagina															
GTEX-Y8LW-1426-SM-5RQJJ	GTEX-Y8LW-1426-SM-5RQJJ	Vagina															
GTEX-ZV6S-1326-SM-59HJA	GTEX-ZV6S-1326-SM-59HJA	Vagina															
GTEX-ZYVF-0326-SM-5GIES	GTEX-ZYVF-0326-SM-5GIES	Vagina															
GTEX-ZYY3-2626-SM-5N9DH	GTEX-ZYY3-2626-SM-5N9DH	Vagina															
GTEX-XV7Q-1526-SM-4BRWB	GTEX-XV7Q-1526-SM-4BRWB	Uterus	11.39	10.37	9.263	10.11	7.082	10.07	9.747	9.873	4.926	9.938	10.23	13.51	13.56	0	6.67
GTEX-R55G-1626-SM-48FF4	GTEX-R55G-1626-SM-48FF4	Uterus	11.05	10.63	9.378	11.74	7.452	9.869	9.778	10.1	4.551	10.42	8.89	13.95	13.31	1.649	6.537
GTEX-OHPL-2026-SM-3TW8R	GTEX-OHPL-2026-SM-3TW8R	Uterus	11.05	10.19	9.466	10.68	6.748	9.638	10.13	9.786	5.13	10.66	9.626	14.11	13.34	1.31	7.616
GTEX-UPIC-1526-SM-4IHLU	GTEX-UPIC-1526-SM-4IHLU	Uterus	10.97	10.18	8.831	11.73	7.117	8.675	9.519	9.553	4.801	10.41	8.751	12.08	12.83	0	8.368
GTEX-QCQG-1326-SM-48U24	GTEX-QCQG-1326-SM-48U24	Uterus	10.95	10.16	9.381	10.3	7.015	9.375	9.673	9.496	2.732	9.736	9.877	12.75	13.49	0	6.599
GTEX-XYKS-1626-SM-4BRUQ	GTEX-XYKS-1626-SM-4BRUQ	Uterus	10.94	10.05	9.256	10.73	6.881	9.306	9.653	9.862	5.32	9.701	9.763	13.78	13.24	1.058	7.589
GTEX-XUZC-0926-SM-4BOQF	GTEX-XUZC-0926-SM-4BOQF	Uterus	10.92	10.55	9.368	10.97	6.866	8.886	9.661	10.03	4.753	10.18	8.994	13.07	13.22	1.125	7.578
GTEX-11I78-2126-SM-5A5K8	GTEX-11I78-2126-SM-5A5K8	Uterus	10.92	10.16	9.233	10.55	7.033	9.071	9.652	9.727	4.227	10.53	9.642	12.88	13.37	2.304	6.044
GTEX-POMQ-1226-SM-3P61F	GTEX-POMQ-1226-SM-3P61F	Uterus	10.89	10.55	9.34	11.18	7.239	9.69	9.397	9.822	3.112	10.52	9.132	13.42	12.96	0.9679	7.302
GTEX-T2IS-2226-SM-4DM65	GTEX-T2IS-2226-SM-4DM65	Uterus	10.89	10.36	8.889	10.35	7.113	9.474	9.647	9.734	3.383	9.842	9.164	12.46	13.07	1.231	6.996
GTEX-S4UY-1226-SM-4AD51	GTEX-S4UY-1226-SM-4AD51	Uterus	10.85	10.35	8.96	12.6	6.906	9.251	9.846	9.913	4.83	11.01	9.181	12.53	12.89	2.478	8.694
GTEX-11DXX-1526-SM-5H115	GTEX-11DXX-1526-SM-5H115	Uterus	10.85	10.28	9.406	10.57	6.875	9.953	9.9	9.858	6.086	11	9.664	13.58	13.33	0.9385	8.776
GTEX-RWS6-1326-SM-47JXB	GTEX-RWS6-1326-SM-47JXB	Uterus	10.81	10.09	9.308	10.55	7.722	8.819	9.851	9.824	5.502	10.09	9.445	12.45	13.38	1.18	6.242
GTEX-131XG-2026-SM-5GCN5	GTEX-131XG-2026-SM-5GCN5	Uterus	10.8	10.46	9.728	11.45	7.452	9.838	9.517	9.595	4.546	10.5	9.702	13.46	13.45	1.122	6.692
GTEX-ZP4G-0726-SM-4WWF2	GTEX-ZP4G-0726-SM-4WWF2	Uterus	10.79	10.92	9.388	11.93	7.431	10.24	10.16	10.25	4.962	11.25	9.555	13.35	13.3	1.529	8.788
GTEX-Y3IK-2126-SM-4YCDS	GTEX-Y3IK-2126-SM-4YCDS	Uterus	10.79	10.35	9.345	10.4	7.924	9.308	9.599	9.388	3.497	10.51	9.832	12.49	12.94	1.021	8.102
GTEX-ZAJG-2826-SM-5HL8D	GTEX-ZAJG-2826-SM-5HL8D	Uterus	10.78	9.881	8.776	10.33	8.234	10.17	10.21	10.16	4.59	9.866	9.829	14.34	13.38	1.677	7.018
GTEX-13VXT-1626-SM-5IJES	GTEX-13VXT-1626-SM-5IJES	Uterus	10.76	10.28	9.188	10.7	6.82	8.643	9.666	9.382	3.713	10.01	9.148	11.89	12.65	3.012	8.242
GTEX-Q734-1626-SM-48U1B	GTEX-Q734-1626-SM-48U1B	Uterus	10.73	9.88	8.913	11.09	7.385	8.913	9.226	9.101	2.097	10.17	9.47	12.04	12.6	0	7.093
GTEX-P4PP-2026-SM-3P61N	GTEX-P4PP-2026-SM-3P61N	Uterus	10.72	10.11	9.55	9.937	8.042	8.008	9.647	9.209	4.267	9.961	9.555	12.28	13.1	0.9027	7.799
GTEX-RU72-2626-SM-4TT75	GTEX-RU72-2626-SM-4TT75	Uterus	10.71	9.54	9.369	10.75	7.79	8.449	9.662	9.613	4.631	9.805	9.563	11.61	12.53	0	7.457
GTEX-132AR-1526-SM-5KM1L	GTEX-132AR-1526-SM-5KM1L	Uterus	10.7	9.558	8.767	10.6	7.821	9.645	9.082	9.063	3.131	9.533	10.06	13.16	13.21	0	6.596
GTEX-139D8-2526-SM-5N9G3	GTEX-139D8-2526-SM-5N9G3	Uterus	10.69	10	9.176	10.62	7.408	9.549	9.788	9.328	3.383	9.809	9.499	11.97	12.24	1.53	7.516
GTEX-131YS-2326-SM-5IJFJ	GTEX-131YS-2326-SM-5IJFJ	Uterus	10.69	9.857	9.047	9.759	7.935	8.73	10.07	9.697	3.416	10.49	9.74	11.59	12.71	1.964	8.452
GTEX-WI4N-2426-SM-4OOSC	GTEX-WI4N-2426-SM-4OOSC	Uterus	10.67	9.699	8.829	12.19	7.235	10.05	9.121	9.472	3.442	9.204	9.308	14.55	12.24	2.1	7.971
GTEX-W5WG-1326-SM-4LMI9	GTEX-W5WG-1326-SM-4LMI9	Uterus	10.65	10.12	9.383	9.927	7.07	8.765	10.02	9.656	4.777	10.78	9.862	12.47	12.94	0	8.48
GTEX-XUW1-0226-SM-4BOOS	GTEX-XUW1-0226-SM-4BOOS	Uterus	10.65	10.05	9.142	10.19	6.866	8.87	9.655	9.513	4.18	10.56	9.513	12.5	12.9	4.062	7.92
GTEX-ZV6S-1526-SM-5NQ7O	GTEX-ZV6S-1526-SM-5NQ7O	Uterus	10.65	9.982	8.906	10.69	6.602	9.269	10.33	10.42	6.024	11.38	9.907	13.29	13.17	1.001	8.192
GTEX-WWYW-2826-SM-4MVOQ	GTEX-WWYW-2826-SM-4MVOQ	Uterus	10.65	9.644	8.211	10.23	7.445	9.383	9.705	9.143	4.175	9.861	9.618	13.49	12.3	3.523	7.344
GTEX-YJ8O-1126-SM-5P9IS	GTEX-YJ8O-1126-SM-5P9IS	Uterus	10.62	10.59	9.263	11.74	7.708	8.892	9.588	9.42	4.111	10.11	9.468	11.92	12.71	0	8.647
GTEX-11ZTT-1726-SM-5EQL4	GTEX-11ZTT-1726-SM-5EQL4	Uterus	10.62	10.57	9.26	10.57	7.645	9.486	9.489	9.491	5.501	11.23	9.722	12.99	13.4	1.203	8.637
GTEX-YFC4-2826-SM-5P9FR	GTEX-YFC4-2826-SM-5P9FR	Uterus	10.61	10.48	9.434	10.64	7.643	9.607	9.642	9.114	3.662	9.799	9.502	11.75	12.24	0.8294	7.736
GTEX-PX3G-2026-SM-48U1H	GTEX-PX3G-2026-SM-48U1H	Uterus	10.61	10.09	9.299	11.37	7.323	8.609	9.359	9.503	3.982	9.74	8.938	11.77	13.33	0	6.348
GTEX-13N11-1126-SM-5KM41	GTEX-13N11-1126-SM-5KM41	Uterus	10.58	10.54	9.231	11.49	7.177	9.044	9.467	9.757	4.705	9.9	9.108	13.64	12.89	0	7.046
GTEX-S341-1026-SM-4AD71	GTEX-S341-1026-SM-4AD71	Uterus	10.57	10.95	9.348	11.53	7.346	9.517	10.13	10.39	3.737	11.38	8.784	13.5	12.79	2.353	7.853
GTEX-12ZZX-2126-SM-5LZVL	GTEX-12ZZX-2126-SM-5LZVL	Uterus	10.57	10.2	8.754	10.23	6.469	8.97	9.826	9.641	4.554	10.5	9.747	12.25	12.55	1.751	7.111
GTEX-14BMU-1826-SM-5RQII	GTEX-14BMU-1826-SM-5RQII	Uterus	10.56	9.786	8.773	11.77	7.213	8.856	9.335	9.63	2.182	10.16	8.803	12.37	12.8	0	7.292
GTEX-TMMY-2226-SM-4DXTN	GTEX-TMMY-2226-SM-4DXTN	Uterus	10.55	10.07	8.847	11.71	6.755	9.464	9.691	9.941	3.096	10.66	8.957	12.8	12.9	1.815	8.072
GTEX-PWN1-2026-SM-48TD9	GTEX-PWN1-2026-SM-48TD9	Uterus	10.51	10.49	9.235	12.14	6.228	9.37	9.527	9.885	4.213	10.29	8.895	13.39	12.99	1.172	7.699
GTEX-P78B-2526-SM-3P5ZY	GTEX-P78B-2526-SM-3P5ZY	Uterus	10.49	9.72	9.023	11.47	7.647	9.084	9.25	9.482	3.141	10.02	9.264	12.02	12.96	0	7.419
GTEX-T5JW-1526-SM-4DM5E	GTEX-T5JW-1526-SM-4DM5E	Uterus	10.48	10.32	9.528	11.53	5.996	9.407	9.59	9.922	3.954	10.28	8.825	13.06	13.11	2.077	7.792
GTEX-ZVT2-0426-SM-5E44S	GTEX-ZVT2-0426-SM-5E44S	Uterus	10.48	10.29	9.135	10.66	7.733	10.08	9.811	9.666	4.442	10.95	9.656	13.01	13.07	1.065	8.493
GTEX-WEY5-0726-SM-4LMID	GTEX-WEY5-0726-SM-4LMID	Uterus	10.47	10.48	8.918	11.69	7.614	9.722	9.803	9.949	3.899	11.18	9.162	12.82	13.12	0	8.126
GTEX-WXYG-1326-SM-4ONCN	GTEX-WXYG-1326-SM-4ONCN	Uterus	10.47	10.46	8.638	10.71	6.686	9.378	9.757	9.832	3.797	11.54	8.936	12.92	12.93	0	7.894
GTEX-1313W-2826-SM-5P9G1	GTEX-1313W-2826-SM-5P9G1	Uterus	10.45	10.16	9.207	9.7	7.212	8.972	9.957	9.583	4.142	10.62	10.08	11.63	12.67	3.526	8.776
GTEX-13FTX-1026-SM-5J2O5	GTEX-13FTX-1026-SM-5J2O5	Uterus	10.44	10.18	8.764	12	7.278	9.138	9.485	9.493	3.77	10.83	8.97	12.52	12.94	0	8.425
GTEX-U3ZN-0726-SM-4DXT5	GTEX-U3ZN-0726-SM-4DXT5	Uterus	10.43	9.685	9.003	12.41	7.208	8.843	9.355	9.684	3.856	9.738	9.007	12.05	13.05	3.856	6.575
GTEX-12WSK-2026-SM-5CVNB	GTEX-12WSK-2026-SM-5CVNB	Uterus	10.42	10.51	8.646	13.08	6.774	8.782	9.909	10.03	3.964	10.97	8.809	12.69	13.59	1.626	9.066
GTEX-T6MO-1526-SM-4DM57	GTEX-T6MO-1526-SM-4DM57	Uterus	10.4	10.51	9.14	11.61	7.342	9.465	9.806	9.8	3.255	11.63	9.33	13.23	13.05	2.222	7.96
GTEX-WYVS-1226-SM-4ONCL	GTEX-WYVS-1226-SM-4ONCL	Uterus	10.4	10.04	9.257	11.01	7.457	9.094	9.276	9.355	4.992	10.54	9.63	12.42	12.59	0	6.819
GTEX-ZAK1-2526-SM-5S2N7	GTEX-ZAK1-2526-SM-5S2N7	Uterus	10.4	9.96	9.059	9.835	7.239	8.436	9.467	8.918	4.785	9.963	9.76	10.82	12.07	0	7.875
GTEX-13U4I-1926-SM-5LU39	GTEX-13U4I-1926-SM-5LU39	Uterus	10.39	10.2	9.3	10.73	7.642	9.096	9.61	9.359	4.578	10.17	9.515	11.99	13.04	1.623	6.5
GTEX-XUJ4-1526-SM-4BONU	GTEX-XUJ4-1526-SM-4BONU	Uterus	10.38	10.24	8.915	9.638	7.959	9.619	9.669	9.654	5.018	11.3	9.293	12.69	13.06	0	8.862
GTEX-N7MT-0726-SM-3TW8S	GTEX-N7MT-0726-SM-3TW8S	Uterus	10.37	10.16	9.442	8.966	8.145	8.849	9.812	9.526	4.828	10.98	10.06	12.59	12.71	1.715	8.813
GTEX-13S7M-1726-SM-5RQK3	GTEX-13S7M-1726-SM-5RQK3	Uterus	10.36	9.774	8.718	9.547	7.525	8.241	9.757	9.201	3.058	10.18	9.621	11.48	12	0	8.701
GTEX-ZLWG-1026-SM-4WWC4	GTEX-ZLWG-1026-SM-4WWC4	Uterus	10.35	10.2	8.936	10.53	6.862	9.358	9.794	9.818	4.247	10.95	9.881	12.76	12.94	0	8.486
GTEX-13D11-1226-SM-5IFGA	GTEX-13D11-1226-SM-5IFGA	Uterus	10.35	10.02	8.717	12.21	7.453	9.191	9.601	9.672	3.989	10.62	9.52	13.04	12.93	1.644	7.373
GTEX-P4QT-2026-SM-3NMCJ	GTEX-P4QT-2026-SM-3NMCJ	Uterus	10.35	10	9.228	13.02	7.778	9.467	9.285	9.643	4.109	11.35	9.161	12.54	12.98	1.488	8.686
GTEX-12WSG-2126-SM-5EGJ7	GTEX-12WSG-2126-SM-5EGJ7	Uterus	10.34	10.07	9.431	10.9	7.884	8.816	9.621	9.492	4.103	10.29	9.775	12.4	12.94	1.659	7.967
GTEX-145ME-1326-SM-5O98Q	GTEX-145ME-1326-SM-5O98Q	Uterus	10.33	10.49	9.213	11.84	7.305	9.692	9.393	9.547	3.232	10.54	9.097	13.27	13.13	0	6.388
GTEX-12WSD-2826-SM-59HKT	GTEX-12WSD-2826-SM-59HKT	Uterus	10.31	10.27	9.27	10.34	8.662	9.381	9.855	9.406	4.418	10.62	10.13	12.1	12.59	0	8.842
GTEX-1117F-2426-SM-5EGGH	GTEX-1117F-2426-SM-5EGGH	Uterus	10.29	9.757	8.974	10.8	7.066	8.882	9.326	9.278	4.368	9.765	9.216	13.24	12.44	3.097	8.342
GTEX-PWCY-1426-SM-48TCT	GTEX-PWCY-1426-SM-48TCT	Uterus	10.28	9.793	9.554	12.11	7.381	8.207	9.36	9.578	4.373	9.756	9.388	11.86	12.95	1.211	8.306
GTEX-ZTPG-2026-SM-5O999	GTEX-ZTPG-2026-SM-5O999	Uterus	10.27	9.835	9.232	11.7	7.87	10.3	9.602	9.539	3.83	10.35	9.692	13.7	12.71	1.012	6.752
GTEX-1399S-2226-SM-5IFEW	GTEX-1399S-2226-SM-5IFEW	Uterus	10.26	10.18	9.168	11.3	7.47	9.501	9.542	9.625	3.335	11.24	9.346	12.92	12.88	1.495	7.782
GTEX-11ZTS-2326-SM-5EQMY	GTEX-11ZTS-2326-SM-5EQMY	Uterus	10.23	10.18	9.217	9.903	8.52	9.95	9.901	9.657	5.731	10.21	10.11	11.98	12.14	1.145	8.189
GTEX-13QBU-1626-SM-5LU4S	GTEX-13QBU-1626-SM-5LU4S	Uterus	10.22	10.3	9.04	12.07	6.583	9.215	9.618	9.633	4.803	10.34	9.222	12.93	12.8	1.273	8.085
GTEX-13PL7-2026-SM-5IFGK	GTEX-13PL7-2026-SM-5IFGK	Uterus	10.2	10.23	9.317	11.09	7.573	9.11	9.451	9.172	4.415	10.88	9.538	12.17	12.94	0	8.626
GTEX-14BIM-2226-SM-5SI8Y	GTEX-14BIM-2226-SM-5SI8Y	Uterus	10.2	10.09	9.189	10.03	7.973	9.221	10.03	9.771	4.244	11.25	9.956	12.68	13	0.9593	8.323
GTEX-1399U-1326-SM-5IJET	GTEX-1399U-1326-SM-5IJET	Uterus	10.19	9.979	9.031	10.4	6.441	9.083	10.09	9.779	4.415	11.31	9.445	12.59	12.97	4.072	9.062
GTEX-13OVJ-2326-SM-5IJGA	GTEX-13OVJ-2326-SM-5IJGA	Uterus	10.18	9.777	9.257	10.92	7.091	9.259	9.964	9.585	4.101	9.916	9.541	13.8	12.94	3.012	8.238
GTEX-11P81-1626-SM-5BC52	GTEX-11P81-1626-SM-5BC52	Uterus	10.16	10	9.349	12.2	7.882	10.23	9.761	9.474	4.974	9.813	9.529	13.51	12.76	0	6.186
GTEX-ZYVF-0526-SM-5E43E	GTEX-ZYVF-0526-SM-5E43E	Uterus	10.02	9.9	9.136	10.62	7.096	8.521	9.86	9.745	4.939	10.33	9.467	13.3	13.2	1.715	7.582
GTEX-11EM3-1926-SM-5987U	GTEX-11EM3-1926-SM-5987U	Uterus	9.984	10.59	9.17	11.95	6.985	9.745	9.767	9.921	4.2	11.41	9.395	13.06	13.06	1.225	8.138
GTEX-113JC-2226-SM-5EGJG	GTEX-113JC-2226-SM-5EGJG	Uterus	9.953	10.03	8.876	10.08	8.526	9.369	9.896	9.604	3.633	10.62	9.902	12.46	12.36	2.602	7.625
GTEX-ZXES-0726-SM-5E451	GTEX-ZXES-0726-SM-5E451	Uterus	9.913	10.43	9.236	12.53	6.628	9.43	9.62	9.364	4.991	11.17	9.347	12.72	13.3	0	8.932
GTEX-OHPK-2026-SM-3MJH7	GTEX-OHPK-2026-SM-3MJH7	Uterus	9.812	10.13	9.292	11.4	5.409	8.526	9.571	9.272	5.585	9.46	9.209	12.62	13.21	1.508	4.411
GTEX-13OVI-1026-SM-5L3EM	GTEX-13OVI-1026-SM-5L3EM	Uterus	9.761	10.18	9.191	11.98	7.189	9.764	9.63	9.519	4.615	12.18	9.586	13.05	13.08	3.516	8.984
GTEX-11EMC-1826-SM-5A5JT	GTEX-11EMC-1826-SM-5A5JT	Uterus															
GTEX-11GSP-2426-SM-5N9BD	GTEX-11GSP-2426-SM-5N9BD	Uterus															
GTEX-13W3W-1426-SM-5LU56	GTEX-13W3W-1426-SM-5LU56	Uterus															
GTEX-PWOO-1526-SM-48TCK	GTEX-PWOO-1526-SM-48TCK	Uterus															
GTEX-RTLS-2426-SM-46MUO	GTEX-RTLS-2426-SM-46MUO	Uterus															
GTEX-RU1J-1026-SM-46MUR	GTEX-RU1J-1026-SM-46MUR	Uterus															
GTEX-RU72-2626-SM-4GIE1	GTEX-RU72-2626-SM-4GIE1	Uterus															
GTEX-S32W-1426-SM-4AD66	GTEX-S32W-1426-SM-4AD66	Uterus															
GTEX-S7SF-0826-SM-4AD4W	GTEX-S7SF-0826-SM-4AD4W	Uterus															
GTEX-T5JW-1526-SM-5CHQH	GTEX-T5JW-1526-SM-5CHQH	Uterus															
GTEX-TSE9-2626-SM-4DXV2	GTEX-TSE9-2626-SM-4DXV2	Uterus															
GTEX-TSE9-2626-SM-5CHRL	GTEX-TSE9-2626-SM-5CHRL	Uterus															
GTEX-WEY5-0726-SM-5CHT4	GTEX-WEY5-0726-SM-5CHT4	Uterus															
GTEX-Y114-1826-SM-4TT87	GTEX-Y114-1826-SM-4TT87	Uterus															
GTEX-ZYWO-2126-SM-5GZXF	GTEX-ZYWO-2126-SM-5GZXF	Uterus															
GTEX-WWYW-2726-SM-4MVOP	GTEX-WWYW-2726-SM-4MVOP	Ovary	11.06	10.8	9.551	9.323	10.28	7.537	9.851	9.892	4.339	9.147	9.504	14.44	13.64	4.214	9.084
GTEX-S4UY-1026-SM-4AD53	GTEX-S4UY-1026-SM-4AD53	Ovary	11.03	10.15	9.638	9.627	6.595	9.512	9.843	9.845	4.835	10.62	10.19	14.14	11.62	2.419	7.818
GTEX-XV7Q-1426-SM-4BRWA	GTEX-XV7Q-1426-SM-4BRWA	Ovary	10.94	10.99	8.799	10.15	10.09	9.479	9.637	9.646	3.814	10.46	10.29	13.38	13.23	1.59	9.848
GTEX-XYKS-1726-SM-4E3IO	GTEX-XYKS-1726-SM-4E3IO	Ovary	10.92	10.32	9.393	9.705	9.1	8.229	9.643	10.09	5.846	10.6	9.573	13.25	13.67	2.354	9.555
GTEX-PWOO-1726-SM-48TDC	GTEX-PWOO-1726-SM-48TDC	Ovary	10.85	10.9	9.621	10.53	9.1	9.267	9.497	9.972	7.019	10.98	9.14	14.44	13.32	4.132	8.272
GTEX-WI4N-2526-SM-4OOSE	GTEX-WI4N-2526-SM-4OOSE	Ovary	10.82	10.64	9.285	11.26	9.239	9.569	9.435	9.719	4.218	9.908	10.25	15.22	13.21	1.071	8.552
GTEX-OHPL-2426-SM-48TDN	GTEX-OHPL-2426-SM-48TDN	Ovary	10.79	9.91	9.577	9.203	8.576	8.353	9.843	9.945	5.077	11.02	9.538	13.23	13.14	0	9.917
GTEX-13D11-1126-SM-5KLYS	GTEX-13D11-1126-SM-5KLYS	Ovary	10.76	10.66	9.226	8.785	10.13	8.8	9.736	9.941	4.539	10.93	9.82	13.47	13.58	0	9.68
GTEX-146FH-2526-SM-5Q5BP	GTEX-146FH-2526-SM-5Q5BP	Ovary	10.73	10.16	9.515	8.772	9.593	9.031	9.706	9.888	4.849	10.46	10.02	12.36	12.77	3.102	8.9
GTEX-139D8-2426-SM-5KM3A	GTEX-139D8-2426-SM-5KM3A	Ovary	10.69	9.89	8.793	9.36	9.455	8.372	9.593	9.524	4.353	9.999	9.769	13.04	13.04	0	9.568
GTEX-YFC4-2726-SM-5IFJW	GTEX-YFC4-2726-SM-5IFJW	Ovary	10.66	10.65	9.879	9.007	10.13	8.372	9.764	9.396	4.987	9.735	10.07	11.86	13.41	0	9.224
GTEX-131YS-2226-SM-5P9G8	GTEX-131YS-2226-SM-5P9G8	Ovary	10.63	10.17	9.814	8.638	10.01	8.521	9.984	9.987	4.309	10.83	10.04	11.58	13.72	0	10.27
GTEX-12WSJ-1226-SM-5LU91	GTEX-12WSJ-1226-SM-5LU91	Ovary	10.6	10.37	9.378	9.51	9.68	8.848	9.63	10.11	4.562	10.56	9.899	13.02	13.98	1.174	9.103
GTEX-S32W-1226-SM-4AD67	GTEX-S32W-1226-SM-4AD67	Ovary	10.59	11.2	9.337	9.707	9.374	8.957	9.859	9.456	4.354	10.58	9.965	12.99	13.3	2.369	9.558
GTEX-Q734-0726-SM-48TZP	GTEX-Q734-0726-SM-48TZP	Ovary	10.59	10.25	9.27	9.819	10.29	8.523	9.317	9.485	4.047	9.76	10.04	11.77	13.08	1.134	8.48
GTEX-YJ8O-1026-SM-5CVM5	GTEX-YJ8O-1026-SM-5CVM5	Ovary	10.58	10.71	9.976	9.166	10.48	8.625	9.856	9.809	4.913	10.13	10.16	11.47	13.51	1.736	9.886
GTEX-RU72-2226-SM-46MUE	GTEX-RU72-2226-SM-46MUE	Ovary	10.58	10.34	9.463	9.868	10.46	8.068	9.895	9.887	2.779	10.11	9.866	11.74	13.65	1.119	10.05
GTEX-Y3IK-2026-SM-4YCDG	GTEX-Y3IK-2026-SM-4YCDG	Ovary	10.55	10.91	9.453	9.537	10.23	8.699	9.975	9.917	4.186	10.91	10.11	12.22	13.87	0	10.43
GTEX-PLZ4-2826-SM-3P617	GTEX-PLZ4-2826-SM-3P617	Ovary	10.55	10.3	9.575	8.413	10.07	8.617	9.748	10.08	4.441	10.32	9.733	13.06	13.88	0	10.15
GTEX-XMD3-2326-SM-4AT5H	GTEX-XMD3-2326-SM-4AT5H	Ovary	10.54	10.46	9.436	8.915	10.02	7.939	9.868	10.04	4.186	10.19	9.857	11.47	13.54	1.789	10.25
GTEX-U3ZN-1026-SM-4DXTC	GTEX-U3ZN-1026-SM-4DXTC	Ovary	10.54	10.35	9.62	9.673	9.238	8.47	9.671	9.378	4.265	10.01	10.03	13.13	13.12	3.845	9.96
GTEX-XUZC-1026-SM-4BOPY	GTEX-XUZC-1026-SM-4BOPY	Ovary	10.54	9.792	9.04	9.053	9.363	8.417	9.835	9.922	4.33	10.56	9.667	12.77	13.73	0	10.15
GTEX-WEY5-0626-SM-4LMIA	GTEX-WEY5-0626-SM-4LMIA	Ovary	10.53	10.53	9.461	10.48	7.859	9.797	10.17	10.28	6.727	11.81	9.339	13.98	13.29	0	8.632
GTEX-POMQ-1426-SM-3P61D	GTEX-POMQ-1426-SM-3P61D	Ovary	10.53	10.44	9.867	9.786	9.587	8.077	9.494	9.353	3.917	9.75	9.818	12.46	13.36	2.089	9.55
GTEX-QCQG-1426-SM-48U22	GTEX-QCQG-1426-SM-48U22	Ovary	10.53	10.39	9.595	9.715	9.669	8.848	9.927	9.793	4.186	11.02	10.14	13.05	13.67	1.358	10.3
GTEX-ZYWO-1926-SM-5E456	GTEX-ZYWO-1926-SM-5E456	Ovary	10.52	11.15	9.233	9.606	10.14	8.463	9.603	9.363	5.049	10.44	9.982	12.98	13.31	1.192	9.507
GTEX-1269C-1826-SM-5N9E1	GTEX-1269C-1826-SM-5N9E1	Ovary	10.52	10.77	9.766	9.491	9.807	8.544	10.23	9.878	3.643	10.43	9.996	11.92	13.92	5.075	10.62
GTEX-P4PP-2426-SM-3P61L	GTEX-P4PP-2426-SM-3P61L	Ovary	10.52	10.37	9.663	9.408	10.35	8.203	9.998	9.588	4.441	10.84	10.01	12.49	13.82	1.486	10.21
GTEX-X15G-1726-SM-4PQZN	GTEX-X15G-1726-SM-4PQZN	Ovary	10.52	10.19	9.457	9.262	9.974	8.397	9.958	9.97	4.486	10.51	10.46	13.17	13.71	0	10.27
GTEX-T2IS-2026-SM-4DM6W	GTEX-T2IS-2026-SM-4DM6W	Ovary	10.52	9.908	9.7	9.089	9.268	7.835	9.738	9.83	4.21	9.715	9.605	11.37	13.21	2.643	9.401
